capcode,capcode_short,discipline,service,region,region_code,location,station,unit_type,unit_type_name,callsign,unit_number,description,remark,status,confidence,sources,source_urls
001404396,1404396,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Zuid Beijerland Peloton,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001404397,1404397,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Nieuw Beijerland Ademlucht,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001404401,1404401,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Staflid van dienst,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001404402,1404402,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,commandant,,,,,Goudswaard post commandant,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001404403,1404403,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,commandant,,,,,Zuid Beijerland post commandant,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001404404,1404404,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,commandant,,,,,Nieuw Beijerland post commandant,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001404405,1404405,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Plv commandant,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001404406,1404406,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Commandant,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001404407,1404407,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Goudswaard bevelvoerder,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001404408,1404408,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Zuid Beijerland bevelvoerder,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001404409,1404409,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Nieuw Beijerland bevelvoerder,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001404410,1404410,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Nieuw Beijerland WVD,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001404411,1404411,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Goudswaard prio 2,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001404412,1404412,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Goudswaard prio 1,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001404413,1404413,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Zuid Beijerland prio 2,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001404414,1404414,Brandweer,Brandweer,Zuid-Holland Zuid,,Korendijk,Korendijk,,,,,Zuid Beijerland prio 1,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
